Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
122582	122582	30350c	122582	30350c.dat		Tile, Modified 2 x 3 with 2 U Clips	o	97	2	9	False		False	5016	
10817	10817	30353c01	10817	30353c01.dat		Electric, Light & Sound Rocket Engine, Battery Box (Undetermined Type)	o	33	3	13	False		False	5128	5130
399	399	30355	399	30355.dat	30355	Wedge, Plate 12 x 6 Left	o	106	2	8	False		False	5012	5011
400	400	30356	400	30356.dat	30356	Wedge, Plate 12 x 6 Right	o	106	2	8	False		False	5012	5011
401	401	30357	401	30357.dat	30357	Plate, Round Corner 3 x 3	o	70	3	8	False		False	5010	
1881	1881	30358	1881	30358.dat	30358	Engine, Strakes, 2 Top Studs, 2 x 2 Bottom Tile	o	2	1	27	False		False	5075	5076
402	44736	30359	402	30359a.dat		Bar 1 x 8 with Brick 1 x 2 Curved Top End (Undetermined Type)	o	0	0	0	False		True		
-494	44736	30359a	44736	30359.dat		Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)	o	0	0	0	False		True		
44736	44736	30359a	44736	30359a.dat		Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)	o	6	-1	23	False		False	5019	5019
42589	42589	30359b	42589	30359b.dat	30359	Bar 1 x 8 with Brick 1 x 2 Curved Top End (Axle Holder Inside Small End)	o	6	-1	23	False		False	5019	5019
403	403	3036	403	3036.dat	3036	Plate 6 x 8	o	70	1	7	False		False	5009	
405	54436	30361	405	30361a.dat	30361	Brick, Round 2 x 2 x 2 Robot Body - (Undetermined Bottom Type Version)	o	0	0	0	False		True		
-495	54436	30361a	54436	30361.dat		Brick, Round 2 x 2 x 2 Robot Body - without Bottom Axle Holder	o	0	0	0	False		True		
54436	54436	30361a	54436	30361a.dat		Brick, Round 2 x 2 x 2 Robot Body without Bottom Axle Holder	o	13	5	2	False		False	5002	5002
54438	54438	30361c	54438	30361d.dat		Brick, Round 2 x 2 x 2 Robot Body with Bottom Axle Holder (x Shape / + Orientation)	o	13	5	2	False		False	5002	5002
75610	54438	30361pb001	75610	30361dps4.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Green Pattern (R2-R7)	o	14	3	2	False		true	5002	5002
90802	54438	30361cpb005	90802	30361dps3.dat		Brick, Round 2 x 2 x 2 Robot Body with Bottom Axle Holder (x Shape / + Orientation) with SW Astromech Droid Light Bluish Gray Rectangles and Dark Green Utility Arms Pattern	o	14	3	2	False		True	5002	5002
122385	54438	30361cpb025	122385	30361dps8.dat		Brick, Round 2 x 2 x 2 Robot Body with Bottom Axle Holder (x Shape / + Orientation) with Light Bluish Gray Lines and Dark Blue Pattern (SW R2-D2 / R3-T2)	o	14	3	2	False		True	5002	5002
128249	54438	30361pb028	128249	30361dps7.dat		Brick, Round 2 x 2 x 2 Robot Body with Black Lines and Green Pattern (R2 Unit)	o	14	3	2	False		True	5002	5002
-1149	54436	30361px1	3169	30361aps2.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Red Pattern (R5-D4)	o	0	0	0	False		True		
-1472	54436	30361px1	3169	30361ps2.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Red Pattern (R5-D4)	o	0	0	0	False		True		
3169	54438	30361px1	3169	30361dps2.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Red Pattern (SW R5-D4)	o	14	3	2	False		True	5002	5002
-1471	54436	30361px2	3170	30361ps1.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Blue Pattern (R2-D2)	o	0	0	0	False		True		
-1148	54436	30361px2	3170	30361aps1.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Blue Pattern (R2-D2)	o	0	0	0	False		True		
3170	54438	30361px2	3170	30361dps1.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Blue Pattern (R2-D2)	o	14	3	2	False		True	5002	5002
-1473	54436	30361px4	39935	30361ps4.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Squares and Black Lines Pattern	o	0	0	0	False		True		
39935	54436	30361px4	39935	30361aps4.dat		Brick, Round 2 x 2 x 2 Robot Body with Gray Squares and Black Lines Pattern	o	14	3	2	False		True	5002	5002
63462	54438	30361px5	63462	30361dps5.dat		Brick, Round 2 x 2 x 2 Robot Body with Silver Lines and Copper Pattern (Imperial Astromech Droid)	o	14	3	2	False		True	5002	5002
-496	1853	30362	1853	30362.dat		Minifigure, Body Part Leg Mechanical, Droid with Technic Pin	o	0	0	0	False		True		
1853	1853	30362	1853	30362a.dat	30362	Leg Mechanical, Droid with Technic Pin	o	59	1	28	False		False	5101	5105
406	406	30363	406	30363.dat	30363	Slope 18 4 x 2	o	81	1	5	False		False	5006	5006
2204	406	30363pb001	2204	30363ps3.dat		Slope 18 4 x 2 with SW Rebel A-wing Panel Pattern	o	82	1	5	False		True	5006	5006
126326	406	30363pb021	126326	30363p90.dat		Slope 18 4 x 2 with Classic Space Logo Pattern	o	82	1	5	False		True	5006	5006
1193	406	30363px1	1193	30363ps1.dat		Slope 18 4 x 2 with SW Snowspeeder Nose Pattern	o	82	1	5	False		True	5006	5006
44900	406	30363px10	44900	30363ps2.dat		Slope 18 4 x 2 with SW Imperial Shuttle Cockpit Pattern	o	82	1	5	False		True	5006	5006
407	407	30364	407	30364.dat	30364	Hinge Brick 1 x 2 Locking with 1 Finger Vertical End	o	48	-1	21	False		False	5021	
408	408	30365	408	30365.dat	30365	Hinge Brick 1 x 2 Locking with 2 Fingers Vertical End	o	48	-1	21	False		False	5021	
1879	1879	30366	1879	30366.dat	30366	Windscreen 3 x 6 x 5 Bubble	o	112	-1	11	False		False	5062	
131098	131098	30366pb02	131098	30366ps1.dat		Windscreen 3 x 6 x 5 Bubble with SW 8 Spoke Radial Light Gray Thin Lines Pattern	o	113	-1	11	False		True	5062	
3593	1879	30366px1	3593	30366ps2.dat		Windscreen 3 x 6 x 5 Bubble with SW Blue Forcefield Pattern	o	113	-1	11	False		True	5062	
3592	1879	30366px2	3592	30366ps1.dat		Windscreen 3 x 6 x 5 Bubble with SW 8 Spoke Radial Pattern - (Undetermined Version)	o	0	0	0	False		True		
44262	1879	30366px4	44262	30366ps0.dat		Windscreen 3 x 6 x 5 Bubble with Millennium Falcon Hatch Pattern	o	113	-1	11	False		True	5062	
